rank,player,team,league,pos_group,age,minutes,breakout_score,league_factor,overall,potential,ceiling,value_eur,npxg90,xa90,npga90,shots90,kp90,xgchain90,xgbuildup90,z_npxg90,z_xa90,z_npga90,z_shots90,z_kp90,z_xgchain90,z_xgbuildup90
58,Álvaro Carreras,Real Madrid,ESP-La Liga,DF,22,2332,0.825,0.899,81.0,87.0,6.0,38500000.0,0.029,0.069,0.193,0.347,1.119,0.65,0.584,-0.632,0.182,1.154,-0.699,1.395,2.112,2.264
59,Sebastian Nanasi,Strasbourg,FRA-Ligue 1,MF,23,1050,0.802,0.815,75.0,82.0,7.0,11500000.0,0.409,0.209,0.771,1.629,1.457,0.737,0.185,2.184,0.482,2.487,0.091,0.134,0.989,-0.754
60,Hannes Behrens,Heidenheim,GER-Bundesliga,DF,20,1318,0.787,0.887,70.0,77.0,7.0,3000000.0,0.022,0.188,0.205,0.615,1.297,0.422,0.333,-0.802,2.201,1.26,0.079,1.766,0.607,0.4
61,Bazoumana Touré,Hoffenheim,GER-Bundesliga,MF,19,2308,0.764,0.887,77.0,86.0,9.0,23000000.0,0.201,0.282,0.546,1.872,1.716,0.629,0.235,0.559,1.423,1.598,0.572,0.732,0.757,-0.291
62,Lewis Hall,Newcastle,ENG-Premier League,DF,20,2181,0.752,1.0,81.0,86.0,5.0,35500000.0,0.053,0.105,0.083,1.032,1.032,0.366,0.308,0.048,1.008,-0.016,1.707,1.46,0.55,0.507
63,Xavi Simons,Tottenham,ENG-Premier League,MF,22,1755,0.75,1.0,82.0,85.0,3.0,42500000.0,0.139,0.238,0.359,2.154,1.744,0.489,0.267,0.156,1.286,0.828,1.284,1.128,0.382,0.187
64,Dango Ouattara,Brentford,ENG-Premier League,MF,23,2276,0.749,1.0,78.0,82.0,4.0,20000000.0,0.344,0.232,0.395,2.214,1.068,0.524,0.1,2.293,1.207,1.052,1.372,-0.08,0.572,-1.171
65,Fares Chaïbi,Frankfurt,GER-Bundesliga,MF,22,1792,0.746,0.887,76.0,81.0,5.0,11500000.0,0.177,0.253,0.552,1.758,2.009,0.557,0.288,0.341,1.118,1.634,0.426,1.196,0.409,0.095
66,Carlos Romero,Espanyol,ESP-La Liga,DF,23,3191,0.728,0.899,79.0,83.0,4.0,23500000.0,0.083,0.093,0.254,1.185,0.79,0.317,0.22,0.6,0.604,1.859,1.818,0.634,-0.028,-0.391
67,Jacobo Ramón,Como,ITA-Serie A,DF,20,2742,0.725,0.928,74.0,84.0,10.0,8500000.0,0.18,0.034,0.066,1.28,0.361,0.366,0.342,2.924,-0.401,-0.294,2.23,-0.328,0.36,0.583
68,Jean Mattéo Bahoya,Frankfurt,GER-Bundesliga,MF,20,1331,0.724,0.887,75.0,85.0,10.0,12500000.0,0.147,0.272,0.473,1.961,2.096,0.583,0.265,0.065,1.315,1.202,0.686,1.335,0.535,-0.068
69,Conrad Harder,RB Leipzig,GER-Bundesliga,FW,20,932,0.721,0.887,75.0,85.0,10.0,12500000.0,0.452,0.272,0.579,4.056,1.352,0.717,0.11,0.366,1.615,0.592,1.914,0.503,0.617,-0.557
70,Yankuba Minteh,Brighton,ENG-Premier League,MF,21,2391,0.71,1.0,80.0,86.0,6.0,33000000.0,0.179,0.22,0.263,1.543,1.656,0.618,0.323,0.57,1.065,0.241,0.403,0.972,1.079,0.641
71,Julio Enciso,Strasbourg,FRA-Ligue 1,MF,21,1883,0.709,0.815,75.0,84.0,9.0,12500000.0,0.331,0.211,0.382,2.916,1.243,0.756,0.286,1.515,0.499,0.537,1.605,-0.178,1.072,-0.087
72,Rômulo,RB Leipzig,GER-Bundesliga,FW,23,2188,0.707,0.887,78.0,83.0,5.0,21500000.0,0.624,0.148,0.535,2.591,1.028,0.976,0.289,1.417,0.116,0.375,0.052,-0.137,1.859,1.266
73,Nico Williams,Athletic Club,ESP-La Liga,MF,23,1674,0.706,0.899,,,,,0.235,0.223,0.43,2.473,1.828,0.581,0.177,0.911,0.83,0.998,1.384,0.949,0.562,-0.693
74,Mathys Tel,Tottenham,ENG-Premier League,MF,20,1349,0.703,1.0,77.0,85.0,8.0,23500000.0,0.189,0.228,0.334,2.335,1.935,0.413,0.174,0.671,1.159,0.672,1.546,1.469,-0.029,-0.568
75,Ernest Poku,Leverkusen,GER-Bundesliga,MF,21,1482,0.7,0.887,76.0,85.0,9.0,17000000.0,0.226,0.192,0.607,1.64,1.64,0.653,0.266,0.799,0.476,1.933,0.275,0.611,0.87,-0.066
76,Afonso Moreira,Lyon,FRA-Ligue 1,MF,20,1722,0.699,0.815,75.0,84.0,9.0,12500000.0,0.165,0.31,0.575,2.091,1.672,0.692,0.293,0.108,1.451,1.502,0.635,0.448,0.788,-0.04
77,Morgan Rogers,Aston Villa,ENG-Premier League,MF,23,3280,0.698,1.0,84.0,86.0,2.0,56000000.0,0.196,0.205,0.439,2.305,1.317,0.5,0.197,0.75,0.89,1.32,1.502,0.366,0.441,-0.381
78,Dean Huijsen,Real Madrid,ESP-La Liga,DF,20,2034,0.687,0.899,81.0,88.0,7.0,47500000.0,0.103,0.051,0.177,0.885,0.442,0.464,0.446,1.047,-0.127,0.97,0.917,-0.167,0.915,1.258
79,Guéla Doué,Strasbourg,FRA-Ligue 1,DF,22,2061,0.678,0.815,77.0,82.0,5.0,15000000.0,0.08,0.12,0.349,0.524,0.83,0.438,0.334,0.357,0.873,2.586,-0.315,0.548,0.484,0.215
80,Francesco Esposito,Inter,ITA-Serie A,FW,20,1571,0.673,0.928,76.0,84.0,8.0,16500000.0,0.565,0.118,0.573,3.265,1.203,0.773,0.206,1.215,-0.188,0.689,1.101,0.319,1.059,0.517
81,Kamaldeen Sulemana,Atalanta,ITA-Serie A,MF,23,1011,0.667,0.928,73.0,76.0,3.0,4200000.0,0.221,0.203,0.267,2.226,1.157,0.704,0.346,0.848,0.692,0.145,1.156,-0.069,1.271,0.629
82,Franco Mastantuono,Real Madrid,ESP-La Liga,MF,17,1037,0.665,0.899,77.0,87.0,10.0,22000000.0,0.233,0.248,0.087,2.604,1.389,0.664,0.381,0.888,1.105,-0.9,1.554,0.243,0.966,0.802
83,Said El Mala,Köln,GER-Bundesliga,FW,18,1956,0.648,0.887,76.0,87.0,11.0,16000000.0,0.544,0.193,0.736,3.405,0.92,0.793,0.153,0.928,0.653,1.354,1.086,-0.351,0.984,-0.117
84,Omari Hutchinson,Nottingham,ENG-Premier League,MF,21,1688,0.643,1.0,76.0,84.0,8.0,17000000.0,0.116,0.263,0.32,1.333,1.759,0.551,0.3,-0.086,1.575,0.588,0.099,1.156,0.717,0.453
85,Christian Kofane,Leverkusen,GER-Bundesliga,FW,19,1239,0.639,0.887,76.0,86.0,10.0,16000000.0,0.584,0.163,0.654,3.341,1.235,0.812,0.136,1.174,0.293,0.953,1.006,0.271,1.075,-0.298
86,Wilson Odobert,Tottenham,ENG-Premier League,MF,20,985,0.634,1.0,77.0,84.0,7.0,21000000.0,0.225,0.178,0.183,1.919,1.827,0.545,0.263,1.05,0.574,-0.256,0.945,1.278,0.688,0.159
87,Jesus Vazquez,Valencia,ESP-La Liga,DF,22,974,0.618,0.899,71.0,77.0,6.0,2800000.0,0.027,0.141,0.0,0.739,1.294,0.54,0.408,-0.686,1.431,-1.078,0.479,1.797,1.405,0.981
88,Petar Sučić,Inter,ITA-Serie A,MF,21,1765,0.612,0.928,77.0,83.0,6.0,17000000.0,0.111,0.206,0.204,1.122,1.479,0.775,0.557,-0.22,0.726,-0.215,-0.322,0.464,1.63,2.222
89,Malik Tillman,Leverkusen,GER-Bundesliga,MF,23,1674,0.602,0.887,79.0,84.0,5.0,26500000.0,0.275,0.194,0.376,1.828,1.452,0.676,0.272,1.253,0.497,0.673,0.516,0.313,0.983,-0.022
90,Fisnik Asllani,Hoffenheim,GER-Bundesliga,FW,22,2335,0.596,0.887,79.0,83.0,4.0,26000000.0,0.366,0.208,0.655,2.814,1.31,0.761,0.257,-0.156,0.842,0.961,0.335,0.421,0.831,0.939
91,João Pedro,Chelsea,ENG-Premier League,FW,23,2661,0.587,1.0,82.0,86.0,4.0,44000000.0,0.532,0.135,0.676,2.469,0.981,0.652,0.162,1.266,0.159,1.483,0.296,0.016,0.705,0.183
92,Jarell Quansah,Leverkusen,GER-Bundesliga,DF,22,2299,0.578,0.887,76.0,84.0,8.0,15500000.0,0.14,0.035,0.157,0.705,0.431,0.481,0.385,1.84,-0.401,0.709,0.347,-0.208,0.986,0.776
93,Senny Mayulu,PSG,FRA-Ligue 1,MF,19,1672,0.577,0.815,77.0,86.0,9.0,22500000.0,0.259,0.216,0.431,1.884,2.099,0.626,0.276,0.909,0.55,0.779,0.392,1.069,0.497,-0.156
94,Kevin Schade,Brentford,ENG-Premier League,MF,23,2745,0.577,1.0,79.0,83.0,4.0,25000000.0,0.363,0.15,0.361,1.869,0.951,0.57,0.129,2.494,0.234,0.838,0.873,-0.289,0.82,-0.931
95,Adrien Truffert,Bournemouth,ENG-Premier League,DF,23,3379,0.574,1.0,79.0,83.0,4.0,23500000.0,0.053,0.117,0.16,0.426,0.879,0.406,0.265,0.043,1.255,0.979,-0.318,1.068,0.836,0.158
96,Ange-Yoan Bonny,Inter,ITA-Serie A,FW,21,1142,0.573,0.928,78.0,86.0,8.0,32000000.0,0.361,0.21,0.709,1.734,1.34,0.763,0.256,-0.086,0.987,1.383,-0.936,0.602,1.007,1.052
97,Jack Hinshelwood,Brighton,ENG-Premier League,MF,20,1741,0.565,1.0,76.0,84.0,8.0,15500000.0,0.246,0.122,0.362,1.913,0.827,0.6,0.307,1.273,-0.096,0.846,0.936,-0.51,0.986,0.516
98,Hákon Haraldsson,Lille,FRA-Ligue 1,MF,22,2460,0.564,0.815,78.0,83.0,5.0,21500000.0,0.3,0.166,0.366,1.829,1.939,0.691,0.334,1.255,0.061,0.454,0.327,0.836,0.784,0.23
99,Aleksandar Pavlovic,Bayern Munich,GER-Bundesliga,MF,21,1462,0.553,0.887,82.0,87.0,5.0,43000000.0,0.095,0.12,0.246,0.616,1.293,0.89,0.77,-0.415,-0.277,-0.036,-1.036,0.061,2.007,3.568
100,Georginio Rutter,Brighton,ENG-Premier League,MF,23,1786,0.552,1.0,77.0,83.0,6.0,16500000.0,0.148,0.232,0.302,2.116,1.26,0.547,0.212,0.245,1.206,0.48,1.23,0.263,0.698,-0.257
101,Maghnes Akliouche,Monaco,FRA-Ligue 1,MF,23,2400,0.536,0.815,80.0,86.0,6.0,33500000.0,0.248,0.201,0.45,1.8,1.65,0.711,0.312,0.813,0.399,0.876,0.293,0.415,0.874,0.083
102,Ansgar Knauff,Frankfurt,GER-Bundesliga,MF,23,1326,0.535,0.887,77.0,81.0,4.0,15000000.0,0.251,0.197,0.339,2.308,1.154,0.639,0.266,1.029,0.535,0.472,1.13,-0.159,0.806,-0.064
103,Kamory Doumbia,Brest,FRA-Ligue 1,MF,22,1750,0.525,0.815,75.0,81.0,6.0,9000000.0,0.257,0.229,0.463,2.211,1.389,0.666,0.252,0.89,0.668,0.94,0.777,0.035,0.674,-0.312
104,Benjamin Šeško,Manchester Utd,ENG-Premier League,FW,22,1643,0.524,1.0,80.0,87.0,7.0,43000000.0,0.685,0.033,0.657,3.341,0.493,0.779,0.089,2.319,-1.235,1.378,1.547,-1.072,1.391,-0.658
105,Roberto Navarro,Athletic Club,ESP-La Liga,MF,23,1307,0.523,0.899,,,,,0.227,0.142,0.482,1.446,1.653,0.572,0.316,0.837,-0.027,1.285,0.052,0.667,0.518,0.33
106,Malick Thiaw,Newcastle,ENG-Premier League,DF,23,2965,0.519,1.0,81.0,85.0,4.0,33000000.0,0.179,0.025,0.121,0.85,0.182,0.278,0.262,3.236,-0.52,0.485,1.099,-0.721,-0.083,0.135
107,Youssef Lekhedim,Alavés,ESP-La Liga,DF,19,1335,0.515,0.899,70.0,81.0,11.0,3300000.0,0.053,0.187,0.067,0.742,1.079,0.388,0.211,-0.083,2.224,-0.298,0.486,1.301,0.425,-0.452
108,Patrick Dorgu,Manchester Utd,ENG-Premier League,MF,20,1449,0.514,1.0,77.0,84.0,7.0,21000000.0,0.186,0.193,0.497,1.553,1.677,0.433,0.124,0.64,0.75,1.676,0.417,1.009,0.083,-0.975
109,Arijon Ibrahimović,Heidenheim,GER-Bundesliga,MF,19,2169,0.494,0.887,72.0,83.0,11.0,5000000.0,0.204,0.281,0.207,1.95,2.324,0.52,0.15,0.588,1.411,-0.248,0.672,1.695,0.235,-0.899
110,Alberto Moleiro,Villarreal,ESP-La Liga,MF,21,2478,0.489,0.899,82.0,87.0,5.0,47000000.0,0.204,0.21,0.545,1.671,1.38,0.553,0.2,0.616,0.695,1.632,0.343,0.229,0.429,-0.523
111,Quilindschy Hartman,Burnley,ENG-Premier League,DF,23,1825,0.487,1.0,76.0,80.0,4.0,10000000.0,0.019,0.138,0.247,0.444,0.986,0.258,0.201,-0.827,1.643,2.095,-0.259,1.344,-0.223,-0.363
112,Rémy Labeau Lascary,Brest,FRA-Ligue 1,MF,22,1200,0.486,0.815,73.0,80.0,7.0,6000000.0,0.4,0.199,0.45,2.55,0.975,0.643,0.125,2.111,0.385,0.876,1.175,-0.568,0.573,-1.152
113,Nicola Zalewski,Atalanta,ITA-Serie A,MF,23,1897,0.475,0.928,77.0,79.0,2.0,13500000.0,0.149,0.244,0.285,1.803,1.708,0.491,0.283,0.145,1.143,0.245,0.59,0.844,0.203,0.151
114,Luka Vušković,Hamburger SV,GER-Bundesliga,DF,18,2442,0.46,0.887,78.0,88.0,10.0,27500000.0,0.145,0.021,0.184,1.143,0.405,0.297,0.235,1.951,-0.646,1.025,1.646,-0.265,-0.187,-0.301
115,João Neves,PSG,FRA-Ligue 1,MF,20,1287,0.454,0.815,88.0,93.0,5.0,135000000.0,0.221,0.173,0.42,1.888,0.979,0.65,0.496,0.583,0.132,0.723,0.397,-0.562,0.603,1.303
116,Konstantinos Koulierakis,Wolfsburg,GER-Bundesliga,DF,21,2482,0.449,0.887,76.0,85.0,9.0,15500000.0,0.129,0.064,0.181,0.943,0.508,0.281,0.24,1.598,0.091,0.992,1.053,-0.032,-0.288,-0.27
